"","id","original_title","title","original_language","overview","tagline","release_date","poster_path","popularity","vote_count","vote_average","budget","revenue","runtime","status","adult","backdrop_path","genre_names","collection","collection_name"
"454",11470,"Jason X","Jason X","en","In the year 2455, Old Earth is now a contaminated planet abandoned for centuries -- a brown world of violent storms, toxic landmasses and poisonous seas. Yet humans have returned to the deadly place that they once fled, not to live, but to research the ancient, rusting artifacts of the long-gone civilizations. But it's not the harmful environment that could prove fatal to the intrepid, young explorers who have just landed on Old Earth. For them, it's Friday the 13th, and Jason lives!","Evil has an upgrade.",2001-07-24,"/jrObEGWVW1XlutjYXqyyGxtTeov.jpg",36.342,1069,4.8,1.1e+07,16951798,91,"Released",FALSE,"/e1zfnkOBvGBeydFWCXFuTp9o8KW.jpg","Horror, Science Fiction",9735,"Friday the 13th Collection"
"455",10283,"Friday the 13th Part VIII: Jason Takes Manhattan","Friday the 13th Part VIII: Jason Takes Manhattan","en","A group of students on a graduation cruise bound for Manhattan soon realize they've got a stowaway aboard the ship: serial killer Jason Voorhees.","The Big Apple's in BIG trouble!",1989-07-28,"/o8zLlANBDaPiW3SnDdKLIUd4jQQ.jpg",36.337,793,5,5e+06,1.4e+07,100,"Released",FALSE,"/bzpKFAp7Z9mIE4XPtsr6QsmG75O.jpg","Horror, Thriller",9735,"Friday the 13th Collection"
"456",893338,"Gatlopp: Hell of a Game","Gatlopp: Hell of a Game","en","Four friends get together for a nostalgic evening of fun and games after a decade of absence, which takes a dark turn.","One game. One rule. Don't lie... or you die.",2022-06-27,"/tc5Y4HDyb0I0z3MvKkLuPb1rVmj.jpg",36.252,28,5.6,0,0,80,"Released",FALSE,"/2zhKBlsQbYfqe1H2pz8O0kk3Uk2.jpg","Comedy, Horror",NA,NA
"457",61012,"Silent Hill: Revelation 3D","Silent Hill: Revelation 3D","en","Heather Mason and her father have been on the run, always one step ahead of dangerous forces that she doesn't fully understand, Now on the eve of her 18th birthday, plagued by horrific nightmares and the disappearance of her father, Heather discovers she's not who she thinks she is. The revelation leads her deeper into a demonic world that threatens to trap her forever.","This Halloween prepare for a 3D ride through hell.",2012-10-10,"/krE4lUmlWPNML2GI3JSr8LcKd6l.jpg",36.244,1336,5.5,2e+07,52302796,94,"Released",FALSE,"/zhLcgqoIDvxNZPtvQ1PYloGalXs.jpg","Horror, Mystery, Thriller",64748,"Silent Hill Collection"
"458",171424,"The Green Inferno","The Green Inferno","en","A group of student activists travel from New York City to the Amazon to save the rainforest.  However, once they arrive in this vast green landscape, they soon discover that they are not alone… and that no good deed goes unpunished.","Fear will eat you alive.",2013-09-08,"/dTnAYyUwp6lT0cKrt4aNujj5mdF.jpg",36.108,1153,5.7,5e+06,12666449,100,"Released",FALSE,"/ajX3chCByhvBOXn1rbi1dMux1Zg.jpg","Adventure, Horror, Thriller",NA,NA
"459",999722,"Old People","Old People","de","A woman who's returned home with her two kids to attend her sister's wedding must suddenly defend their lives against older people on a killing spree.",NA,2022-10-07,"/2JKKheLcrpXXYSUD3mkmdq8I9p3.jpg",35.976,9,5.5,0,0,101,"Released",FALSE,"/djPUo00dbry1frPzDLD5dgsmG7e.jpg","Horror",NA,NA
"46",869399,"La pasajera","The Passenger","es","Four people traveling in a van run over a lone woman while she is walking in the dark down a country road. After loading her into the vehicle to take her to the nearest hospital, they notice that she is behaving rather strangely. The occupants of the van soon realise that the time has come to fight for their lives, and together they agree on one very simple rule: ""do not sit next to her.""","Don't sit next to her",2022-06-03,"/6bYCDIYqT3GpE6ICnMP6HvUlJMT.jpg",220.766,25,6.4,0,0,90,"Released",FALSE,"/9hhRzLzP1enjENXiGJocAHyWFmS.jpg","Horror",NA,NA
"460",419479,"The Babysitter","The Babysitter","en","When Cole stays up past his bedtime, he discovers that his hot babysitter is part of a Satanic cult that will stop at nothing to keep him quiet.","Dream girls can be a nightmare.",2017-10-13,"/86a7GRVRCwfl7wdI4QadyvKa6Zu.jpg",35.85,3020,6.1,0,0,85,"Released",FALSE,"/tBhkqRxbANdYRhv7mLHfKEMcOZF.jpg","Comedy, Horror",737382,"The Babysitter Collection"
"461",24831,"Piranha","Piranha","en","When flesh-eating piranhas are accidently released into a summer resort's rivers, the guests become their next meal.","A hideous death lurked unseen in the river...",1978-08-03,"/52d13jkFw7hpunU8WK6AmJy9jTF.jpg",35.829,496,5.9,660000,1.6e+07,94,"Released",FALSE,"/qtb0cimYnAhkKEuV4nvHgJV747q.jpg","Comedy, Horror",212279,"Piranha Collection"
"462",4283,"Primeval","Primeval","en","A news team is sent to Burundi to capture and bring home a legendary 25-foot crocodile. Their difficult task turns potentially deadly when a warlord targets them for death.","Inspired by the true story of the most prolific serial killer in history.",2007-01-12,"/5ou56J8FIxbIFusR9zIA9GW7zwt.jpg",35.757,292,6.1,0,10597734,93,"Released",FALSE,"/9MsqUNYYSXSZeWyxzAlTwTbPavv.jpg","Adventure, Horror",NA,NA
"463",243688,"Poltergeist","Poltergeist","en","A family's suburban home is invaded by angry spirits. When the terrifying apparitions escalate their attacks and take the youngest daughter, the family must come together to rescue her.","They're here. And they know what scares you.",2015-05-20,"/A1ymtbzatZp94Z49ZOBb8JGXOBB.jpg",35.679,2031,5.2,3.5e+07,95437994,93,"Released",FALSE,"/c4vArFoyluY4XyBkSZe2kgae613.jpg","Horror",NA,NA
"464",443791,"Underwater","Underwater","en","After an earthquake destroys their underwater station, six researchers must navigate two miles along the dangerous, unknown depths of the ocean floor to make it to safety in a race against time.","7 miles below the ocean surface something has awakened",2020-01-08,"/gzlbb3yeVISpQ3REd3Ga1scWGTU.jpg",35.67,2537,6.3,5e+07,40882928,95,"Released",FALSE,"/ww7eC3BqSbFsyE5H5qMde8WkxJ2.jpg","Action, Horror, Science Fiction",NA,NA
